,YEAR,MONTH,DAY,DOY,OMI_Ave
0,2014,03,16,75,
1,2014,04,18,108,290.6000061035156
2,2014,04,06,96,263.79998779296875
3,2014,04,11,101,275.5
4,2014,07,31,212,286.5
5,2014,01,30,30,
6,2014,05,30,150,272.6000061035156
7,2014,02,04,35,266.5
8,2014,07,15,196,276.29998779296875
9,2014,04,04,94,
10,2014,07,09,190,
11,2014,01,18,18,
12,2014,10,17,290,
13,2014,07,01,182,283.5
14,2014,03,21,80,279.3999938964844
15,2014,10,09,282,280.3999938964844
16,2014,03,17,76,293.79998779296875
17,2014,03,13,72,285.5
18,2014,03,01,60,276.29998779296875
19,2014,01,20,20,263.79998779296875
20,2014,08,16,228,284.79998779296875
21,2014,09,05,248,285.29998779296875
22,2014,11,07,311,
23,2014,11,04,308,277.20001220703125
24,2014,07,02,183,283.20001220703125
25,2014,02,18,49,254.1999969482422
26,2014,09,08,251,
27,2014,10,08,281,
28,2014,03,08,67,281.1000061035156
29,2014,10,24,297,
30,2014,06,10,161,271.29998779296875
31,2014,01,06,6,246.8000030517578
32,2014,09,02,245,282.1000061035156
33,2014,07,25,206,
34,2014,07,23,204,289.79998779296875
35,2014,07,30,211,290.6000061035156
36,2014,12,02,336,
37,2014,07,26,207,287.79998779296875
38,2014,07,11,192,294.6000061035156
39,2014,11,06,310,258.8999938964844
40,2014,04,23,113,280.3999938964844
41,2014,04,12,102,287.8999938964844
42,2014,02,19,50,
43,2014,10,06,279,290.0
44,2014,09,20,263,270.8999938964844
45,2014,12,30,364,270.29998779296875
46,2014,05,22,142,
47,2014,08,31,243,288.20001220703125
48,2014,07,21,202,282.0
49,2014,10,05,278,275.6000061035156
50,2014,06,17,168,280.79998779296875
51,2014,03,11,70,267.3999938964844
52,2014,11,21,325,251.8000030517578
53,2014,01,09,9,
54,2014,02,16,47,265.0
55,2014,02,14,45,264.29998779296875
56,2014,05,29,149,272.70001220703125
57,2014,11,02,306,
58,2014,09,25,268,278.1000061035156
59,2014,03,12,71,283.20001220703125
60,2014,06,11,162,
61,2014,11,08,312,266.0
62,2014,09,29,272,273.20001220703125
63,2014,12,26,360,266.5
64,2014,11,19,323,264.0
65,2014,07,28,209,286.6000061035156
66,2014,08,08,220,278.20001220703125
67,2014,07,03,184,287.1000061035156
68,2014,05,27,147,277.5
69,2014,09,28,271,290.79998779296875
70,2014,10,07,280,286.1000061035156
71,2014,09,07,250,288.20001220703125
72,2014,08,05,217,
73,2014,05,13,133,270.29998779296875
74,2014,06,15,166,286.79998779296875
75,2014,03,09,68,264.8999938964844
76,2014,07,12,193,282.5
77,2014,12,18,352,
78,2014,07,27,208,289.8999938964844
79,2014,06,02,153,
80,2014,02,22,53,265.29998779296875
81,2014,06,25,176,282.79998779296875
82,2014,05,25,145,267.3999938964844
83,2014,10,31,304,
84,2014,05,17,137,
85,2014,12,12,346,260.70001220703125
86,2014,07,19,200,280.70001220703125
87,2014,10,25,298,271.3999938964844
88,2014,03,20,79,300.6000061035156
89,2014,05,12,132,267.8999938964844
90,2014,12,13,347,
91,2014,02,08,39,252.3000030517578
92,2014,03,22,81,284.5
93,2014,12,27,361,
94,2014,06,09,160,267.3999938964844
95,2014,11,03,307,270.79998779296875
96,2014,02,27,58,268.20001220703125
97,2014,02,17,48,255.5
98,2014,09,03,246,278.29998779296875
99,2014,10,28,301,264.8999938964844
100,2014,08,28,240,280.5
101,2014,05,11,131,277.29998779296875
102,2014,09,17,260,288.1000061035156
103,2014,11,11,315,
104,2014,02,07,38,250.39999389648438
105,2014,04,17,107,
106,2014,05,23,143,283.29998779296875
107,2014,06,28,179,282.0
108,2014,01,28,28,265.20001220703125
109,2014,04,16,106,288.3999938964844
110,2014,01,15,15,255.60000610351562
111,2014,01,16,16,
112,2014,02,23,54,259.29998779296875
113,2014,01,23,23,256.70001220703125
114,2014,01,17,17,249.39999389648438
115,2014,05,24,144,272.5
116,2014,11,20,324,248.8000030517578
117,2014,12,08,342,251.3000030517578
118,2014,11,26,330,259.1000061035156
119,2014,06,29,180,289.20001220703125
120,2014,01,22,22,256.0
121,2014,02,15,46,
122,2014,12,05,339,265.20001220703125
123,2014,07,08,189,
124,2014,07,16,197,282.6000061035156
125,2014,10,15,288,268.0
126,2014,11,29,333,260.20001220703125
127,2014,02,20,51,273.79998779296875
128,2014,11,14,318,
129,2014,08,01,213,285.6000061035156
130,2014,04,25,115,287.6000061035156
131,2014,06,24,175,289.1000061035156
132,2014,02,24,55,279.3999938964844
133,2014,11,16,320,
134,2014,04,13,103,290.1000061035156
135,2014,08,26,238,
136,2014,08,04,216,293.29998779296875
137,2014,01,05,5,240.39999389648438
138,2014,10,13,286,
139,2014,04,05,95,278.6000061035156
140,2014,11,17,321,259.70001220703125
141,2014,12,03,337,259.29998779296875
142,2014,03,04,63,279.70001220703125
143,2014,07,05,186,281.70001220703125
144,2014,08,10,222,
145,2014,03,06,65,256.20001220703125
146,2014,02,11,42,264.3999938964844
147,2014,05,03,123,
148,2014,10,29,302,
149,2014,10,22,295,
150,2014,06,27,178,
151,2014,10,26,299,
152,2014,10,10,283,
153,2014,03,23,82,
154,2014,07,14,195,284.3999938964844
155,2014,12,19,353,251.39999389648438
156,2014,03,02,61,
157,2014,04,27,117,271.5
158,2014,06,06,157,
159,2014,05,01,121,
160,2014,05,20,140,280.20001220703125
161,2014,03,31,90,278.70001220703125
162,2014,10,12,285,
163,2014,06,19,170,273.20001220703125
164,2014,10,23,296,271.20001220703125
165,2014,02,06,37,246.8000030517578
166,2014,12,17,351,260.20001220703125
167,2014,02,10,41,
168,2014,01,29,29,
169,2014,06,07,158,
170,2014,03,29,88,289.3999938964844
171,2014,06,03,154,272.5
172,2014,04,19,109,289.3999938964844
173,2014,12,31,365,254.0
174,2014,11,24,328,255.60000610351562
175,2014,03,07,66,
176,2014,08,21,233,
177,2014,05,05,125,
178,2014,06,20,171,
179,2014,09,04,247,290.8999938964844
180,2014,05,07,127,286.8999938964844
181,2014,08,22,234,290.6000061035156
182,2014,09,24,267,
183,2014,04,09,99,293.6000061035156
184,2014,08,15,227,290.3999938964844
185,2014,09,19,262,273.5
186,2014,01,26,26,264.79998779296875
187,2014,01,24,24,263.5
188,2014,08,12,224,283.29998779296875
189,2014,02,09,40,259.6000061035156
190,2014,12,07,341,250.1999969482422
191,2014,01,13,13,254.1999969482422
192,2014,12,16,350,
193,2014,01,10,10,262.3999938964844
194,2014,04,20,110,
195,2014,08,19,231,282.20001220703125
196,2014,06,08,159,272.20001220703125
197,2014,03,26,85,265.70001220703125
198,2014,10,11,284,271.20001220703125
199,2014,12,21,355,255.60000610351562
200,2014,11,28,332,254.60000610351562
201,2014,03,19,78,
202,2014,03,28,87,283.20001220703125
203,2014,05,09,129,277.6000061035156
204,2014,12,25,359,
205,2014,12,29,363,
206,2014,09,16,259,294.79998779296875
207,2014,07,18,199,279.3999938964844
208,2014,08,30,242,
209,2014,12,22,356,253.10000610351562
210,2014,08,13,225,281.29998779296875
211,2014,09,21,264,276.6000061035156
212,2014,07,24,205,281.70001220703125
213,2014,02,25,56,270.79998779296875
214,2014,07,22,203,
215,2014,11,15,319,264.70001220703125
216,2014,12,20,354,
217,2014,06,21,172,277.70001220703125
218,2014,12,11,345,
219,2014,02,01,32,
220,2014,07,29,210,
221,2014,06,01,152,265.1000061035156
222,2014,09,10,253,
223,2014,04,07,97,274.79998779296875
224,2014,10,04,277,281.0
225,2014,09,23,266,281.3999938964844
226,2014,05,10,130,
227,2014,11,23,327,
228,2014,04,15,105,
229,2014,01,25,25,
230,2014,01,02,2,
231,2014,09,14,257,278.70001220703125
232,2014,09,13,256,289.8999938964844
233,2014,01,21,21,254.10000610351562
234,2014,06,04,155,
235,2014,04,08,98,
236,2014,05,21,141,274.0
237,2014,11,05,309,259.3999938964844
238,2014,01,03,3,252.0
239,2014,12,28,362,269.20001220703125
240,2014,05,08,128,284.8999938964844
241,2014,09,18,261,274.5
242,2014,06,22,173,283.6000061035156
243,2014,08,06,218,290.20001220703125
244,2014,05,28,148,276.70001220703125
245,2014,07,17,198,278.79998779296875
246,2014,11,09,313,
247,2014,04,22,112,272.1000061035156
248,2014,02,03,34,
249,2014,09,26,269,286.70001220703125
250,2014,01,14,14,
251,2014,05,15,135,277.5
252,2014,08,29,241,288.3999938964844
253,2014,04,30,120,274.29998779296875
254,2014,06,13,164,285.0
255,2014,05,18,138,284.70001220703125
256,2014,04,02,92,282.1000061035156
257,2014,05,02,122,284.20001220703125
258,2014,10,03,276,289.70001220703125
259,2014,08,07,219,
260,2014,09,11,254,
261,2014,05,04,124,289.0
262,2014,08,27,239,289.0
263,2014,02,12,43,
264,2014,10,18,291,285.20001220703125
265,2014,03,05,64,250.0
266,2014,04,24,114,
267,2014,01,12,12,255.89999389648438
268,2014,04,01,91,
269,2014,07,20,201,
270,2014,04,03,93,
271,2014,10,19,292,268.3999938964844
272,2014,04,29,119,265.20001220703125
273,2014,12,10,344,261.8999938964844
274,2014,05,26,146,
275,2014,11,13,317,
276,2014,02,02,33,250.8000030517578
277,2014,03,14,73,
278,2014,01,19,19,274.8999938964844
279,2014,12,04,338,
280,2014,06,14,165,270.0
281,2014,04,14,104,286.6000061035156
282,2014,11,22,326,250.1999969482422
283,2014,03,24,83,285.29998779296875
284,2014,11,12,316,263.8999938964844
285,2014,01,01,1,257.79998779296875
286,2014,03,27,86,288.29998779296875
287,2014,06,05,156,277.29998779296875
288,2014,05,14,134,272.1000061035156
289,2014,12,24,358,244.5
290,2014,07,06,187,
291,2014,12,01,335,258.20001220703125
292,2014,05,16,136,273.8999938964844
293,2014,02,05,36,252.8000030517578
294,2014,12,23,357,251.60000610351562
295,2014,12,06,340,241.1999969482422
296,2014,03,25,84,272.5
297,2014,09,06,249,
298,2014,06,16,167,280.1000061035156
299,2014,08,02,214,280.70001220703125
300,2014,08,09,221,
301,2014,09,15,258,
302,2014,11,25,329,
303,2014,08,17,229,279.29998779296875
304,2014,04,21,111,288.29998779296875
305,2014,08,25,237,289.29998779296875
306,2014,07,04,185,
307,2014,06,26,177,275.1000061035156
308,2014,09,01,244,294.1000061035156
309,2014,08,20,232,282.1000061035156
310,2014,11,18,322,
311,2014,04,10,100,299.5
312,2014,12,14,348,259.29998779296875
313,2014,01,27,27,
314,2014,02,21,52,265.3999938964844
315,2014,09,12,255,289.79998779296875
316,2014,10,21,294,266.29998779296875
317,2014,01,07,7,248.3000030517578
318,2014,10,01,274,
319,2014,06,18,169,
320,2014,08,11,223,290.29998779296875
321,2014,11,30,334,
322,2014,03,18,77,301.5
323,2014,02,26,57,
324,2014,05,06,126,
325,2014,02,13,44,261.29998779296875
326,2014,06,12,163,284.0
327,2014,10,20,293,263.29998779296875
328,2014,01,31,31,270.0
329,2014,09,30,273,275.5
330,2014,08,24,236,281.29998779296875
331,2014,05,19,139,
332,2014,06,23,174,
333,2014,11,27,331,
334,2014,10,16,289,263.8999938964844
335,2014,11,10,314,258.70001220703125
336,2014,01,11,11,
337,2014,10,30,303,268.70001220703125
338,2014,09,27,270,
339,2014,01,08,8,272.0
340,2014,01,04,4,260.6000061035156
341,2014,03,10,69,270.5
342,2014,11,01,305,260.8999938964844
343,2014,07,10,191,292.29998779296875
344,2014,05,31,151,273.1000061035156
345,2014,04,26,116,282.1000061035156
346,2014,07,13,194,
347,2014,10,27,300,261.3999938964844
348,2014,04,28,118,267.20001220703125
349,2014,06,30,181,284.70001220703125
350,2014,03,15,74,296.3999938964844
351,2014,10,14,287,276.0
352,2014,03,30,89,
353,2014,08,23,235,
354,2014,12,09,343,
355,2014,08,03,215,288.5
356,2014,09,22,265,
357,2014,08,18,230,278.0
358,2014,02,28,59,
359,2014,07,07,188,291.70001220703125
360,2014,08,14,226,
361,2014,12,15,349,
362,2014,09,09,252,286.6000061035156
363,2014,10,02,275,282.5
364,2014,03,03,62,
