,YEAR,MONTH,DAY,DOY,OMI_Ave
0,2014,03,16,75,307.42576156802784
1,2014,04,18,108,323.930334237413
2,2014,04,06,96,321.03068170199083
3,2014,04,11,101,320.12578730634067
4,2014,07,31,212,295.8634463459244
5,2014,01,30,30,288.3742941879421
6,2014,05,30,150,309.7292711189286
7,2014,02,04,35,297.3736703538067
8,2014,07,15,196,298.34704241038116
9,2014,04,04,94,345.02303769043976
10,2014,07,09,190,304.0263763026809
11,2014,01,18,18,291.4416754659336
12,2014,10,17,290,283.7156389822919
13,2014,07,01,182,301.36557809355253
14,2014,03,21,80,315.66607876303664
15,2014,10,09,282,283.4858936150527
16,2014,03,17,76,309.23341025394654
17,2014,03,13,72,307.03790228983996
18,2014,03,01,60,305.78798401625323
19,2014,01,20,20,291.0708195217176
20,2014,08,16,228,292.3304957743755
21,2014,09,05,248,286.8048564152298
22,2014,11,07,311,285.9012254189025
23,2014,11,04,308,287.61823265952495
24,2014,07,02,183,301.8715286641043
25,2014,02,18,49,300.0869176576523
26,2014,09,08,251,284.5526693673186
27,2014,10,08,281,281.4611047264749
28,2014,03,08,67,304.77386329966214
29,2014,10,24,297,286.0625737117257
30,2014,06,10,161,307.94274381017215
31,2014,01,06,6,291.93513786169956
32,2014,09,02,245,287.4648006508677
33,2014,07,25,206,297.1044827235489
34,2014,07,23,204,297.5435532338359
35,2014,07,30,211,296.2633828325052
36,2014,12,02,336,294.09486067340754
37,2014,07,26,207,296.68522127705774
38,2014,07,11,192,300.5584799492735
39,2014,11,06,310,288.51752993519517
40,2014,04,23,113,320.1260563836641
41,2014,04,12,102,321.0533482422592
42,2014,02,19,50,299.6236068014992
43,2014,10,06,279,282.6117139099819
44,2014,09,20,263,281.55779029320774
45,2014,12,30,364,293.4791517671284
46,2014,05,22,142,314.66878362285337
47,2014,08,31,243,289.69835382260715
48,2014,07,21,202,297.23489559645185
49,2014,10,05,278,281.06401384137814
50,2014,06,17,168,305.23770387248015
51,2014,03,11,70,304.99707628445873
52,2014,11,21,325,293.9646744215418
53,2014,01,09,9,293.308099416947
54,2014,02,16,47,300.22997958368734
55,2014,02,14,45,299.339600480605
56,2014,05,29,149,310.5139805547112
57,2014,11,02,306,287.48015100719886
58,2014,09,25,268,278.9243106918618
59,2014,03,12,71,306.5343009905833
60,2014,06,11,162,307.5661864530674
61,2014,11,08,312,285.74273330542417
62,2014,09,29,272,277.08345220338305
63,2014,12,26,360,293.81751578848827
64,2014,11,19,323,292.277334247858
65,2014,07,28,209,296.7959364287257
66,2014,08,08,220,295.5774993669503
67,2014,07,03,184,301.29138332852585
68,2014,05,27,147,311.0395892654962
69,2014,09,28,271,277.66082356643216
70,2014,10,07,280,282.1042676787782
71,2014,09,07,250,285.30888565707806
72,2014,08,05,217,296.6582374592473
73,2014,05,13,133,317.9392362681909
74,2014,06,15,166,305.76979388839794
75,2014,03,09,68,304.5443516874485
76,2014,07,12,193,300.3348004980783
77,2014,12,18,352,298.322543141005
78,2014,07,27,208,296.99805790464336
79,2014,06,02,153,309.1581446401649
80,2014,02,22,53,299.88103420291867
81,2014,06,25,176,302.76397334525626
82,2014,05,25,145,311.995181986145
83,2014,10,31,304,286.29416222407355
84,2014,05,17,137,316.90755795814607
85,2014,12,12,346,295.3888044491075
86,2014,07,19,200,297.92476863840454
87,2014,10,25,298,284.87684040753754
88,2014,03,20,79,315.45055604164867
89,2014,05,12,132,317.867385895856
90,2014,12,13,347,297.81816667779583
91,2014,02,08,39,298.14867224884586
92,2014,03,22,81,315.0622312661491
93,2014,12,27,361,294.3159603354941
94,2014,06,09,160,308.4524540022767
95,2014,11,03,307,287.76748996385663
96,2014,02,27,58,302.02453110459606
97,2014,02,17,48,300.4494080701809
98,2014,09,03,246,288.02227403513984
99,2014,10,28,301,284.5284819657475
100,2014,08,28,240,290.46307791115373
101,2014,05,11,131,317.0649027893162
102,2014,09,17,260,284.49557971238636
103,2014,11,11,315,288.66554513283245
104,2014,02,07,38,298.3306119124015
105,2014,04,17,107,322.9521370301614
106,2014,05,23,143,313.050055083473
107,2014,06,28,179,302.3934196707379
108,2014,01,28,28,294.813996906653
109,2014,04,16,106,322.06427635658395
110,2014,01,15,15,291.5109384841216
111,2014,01,16,16,291.0319558450414
112,2014,02,23,54,299.6803741135593
113,2014,01,23,23,292.20953458431853
114,2014,01,17,17,290.8482472598074
115,2014,05,24,144,312.1054096454757
116,2014,11,20,324,291.6257287695206
117,2014,12,08,342,290.51705633018514
118,2014,11,26,330,299.4311011640368
119,2014,06,29,180,301.9589529966904
120,2014,01,22,22,291.88091689549384
121,2014,02,15,46,299.9303139906934
122,2014,12,05,339,292.1927533274764
123,2014,07,08,189,308.0923470941852
124,2014,07,16,197,298.68645194939756
125,2014,10,15,288,283.71707061089376
126,2014,11,29,333,298.31591492928675
127,2014,02,20,51,299.56388823754907
128,2014,11,14,318,272.65124635957
129,2014,08,01,213,296.4804673017269
130,2014,04,25,115,320.13496104168195
131,2014,06,24,175,302.981575887746
132,2014,02,24,55,300.1444292103859
133,2014,11,16,320,291.36903082333185
134,2014,04,13,103,320.59891967013914
135,2014,08,26,238,291.63588784822826
136,2014,08,04,216,297.077262128477
137,2014,01,05,5,291.96205733527654
138,2014,10,13,286,240.62809195889122
139,2014,04,05,95,320.68483778063415
140,2014,11,17,321,292.08795321844224
141,2014,12,03,337,292.8732307228312
142,2014,03,04,63,302.69655903964724
143,2014,07,05,186,301.603483314488
144,2014,08,10,222,291.8753424642459
145,2014,03,06,65,304.1870734952279
146,2014,02,11,42,299.23128812100384
147,2014,05,03,123,317.93873813904537
148,2014,10,29,302,285.534805529325
149,2014,10,22,295,285.18218368910794
150,2014,06,27,178,302.60948814937524
151,2014,10,26,299,284.67055822503795
152,2014,10,10,283,286.7023693994198
153,2014,03,23,82,311.1858091202321
154,2014,07,14,195,298.57358341433815
155,2014,12,19,353,297.1858787764822
156,2014,03,02,61,289.2919949236905
157,2014,04,27,117,318.4536876837585
158,2014,06,06,157,325.4198620407737
159,2014,05,01,121,316.9735988308459
160,2014,05,20,140,314.8673248562528
161,2014,03,31,90,322.1283634560929
162,2014,10,12,285,248.8687165396094
163,2014,06,19,170,304.2200737480203
164,2014,10,23,296,285.9100191337785
165,2014,02,06,37,298.0770175708751
166,2014,12,17,351,297.3154676094685
167,2014,02,10,41,298.63727279641193
168,2014,01,29,29,291.9315331656525
169,2014,06,07,158,322.95490279041564
170,2014,03,29,88,320.36697413378454
171,2014,06,03,154,310.5799718195933
172,2014,04,19,109,323.38431022494524
173,2014,12,31,365,293.0853908525606
174,2014,11,24,328,297.37186465826534
175,2014,03,07,66,304.96732838055675
176,2014,08,21,233,292.372824394283
177,2014,05,05,125,343.7734447859994
178,2014,06,20,171,303.6897209905485
179,2014,09,04,247,288.70972402862486
180,2014,05,07,127,317.29663107415297
181,2014,08,22,234,291.4432352645487
182,2014,09,24,267,279.17335441110174
183,2014,04,09,99,319.3191669300029
184,2014,08,15,227,292.3242474330647
185,2014,09,19,262,282.8365044285722
186,2014,01,26,26,294.84966139912046
187,2014,01,24,24,292.557065826222
