1
Wavelength [nm]  Refractive index of lower slab
270.00           1.00000
271.00           1.00000
272.00           1.00000
273.00           1.00000
274.00           1.00000
275.00           1.00000
276.00           1.00000
277.00           1.00000
278.00           1.00000
279.00           1.00000
280.00           1.00000
281.00           1.00000
282.00           1.00000
283.00           1.00000
284.00           1.00000
285.00           1.00000
286.00           1.00000
287.00           1.00000
288.00           1.00000
289.00           1.00000
290.00           1.00000
291.00           1.00000
292.00           1.00000
293.00           1.00000
294.00           1.00000
295.00           1.00000
296.00           1.00000
297.00           1.00000
298.00           1.00000
299.00           1.00000
300.00           1.00000
301.00           1.00000
302.00           1.00000
303.00           1.00000
304.00           1.00000
305.00           1.00000
306.00           1.00000
307.00           1.00000
308.00           1.00000
309.00           1.00000
310.00           1.00000
311.00           1.00000
312.00           1.00000
313.00           1.00000
314.00           1.00000
315.00           1.00000
316.00           1.00000
317.00           1.00000
318.00           1.00000
319.00           1.00000
320.00           1.00000
321.00           1.00000
322.00           1.00000
323.00           1.00000
324.00           1.00000
325.00           1.00000
326.00           1.00000
327.00           1.00000
328.00           1.00000
329.00           1.00000
330.00           1.00000
331.00           1.00000
332.00           1.00000
333.00           1.00000
334.00           1.00000
335.00           1.00000
336.00           1.00000
337.00           1.00000
338.00           1.00000
339.00           1.00000
340.00           1.00000
341.00           1.00000
342.00           1.00000
343.00           1.00000
344.00           1.00000
345.00           1.00000
346.00           1.00000
347.00           1.00000
348.00           1.00000
349.00           1.00000
350.00           1.00000
351.00           1.00000
352.00           1.00000
353.00           1.00000
354.00           1.00000
355.00           1.00000
356.00           1.00000
357.00           1.00000
358.00           1.00000
359.00           1.00000
360.00           1.00000
361.00           1.00000
362.00           1.00000
363.00           1.00000
364.00           1.00000
365.00           1.00000
366.00           1.00000
367.00           1.00000
368.00           1.00000
369.00           1.00000
370.00           1.00000
371.00           1.00000
372.00           1.00000
373.00           1.00000
374.00           1.00000
375.00           1.00000
376.00           1.00000
377.00           1.00000
378.00           1.00000
379.00           1.00000
380.00           1.00000
381.00           1.00000
382.00           1.00000
383.00           1.00000
384.00           1.00000
385.00           1.00000
386.00           1.00000
387.00           1.00000
